"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_create_courier_success","tests","Wed Jun 18 19:58:04 MSK 2025","passed","Wed Jun 18 19:58:04 MSK 2025","TestCreateCourier","test_ez-scooter","",""
"","321","test_successful_login_returns_id","tests","Wed Jun 18 19:58:05 MSK 2025","passed","Wed Jun 18 19:58:05 MSK 2025","TestLoginCourier","test_ez-scooter","",""
"","102","test_create_courier_conflict","tests","Wed Jun 18 19:58:04 MSK 2025","passed","Wed Jun 18 19:58:04 MSK 2025","TestCreateCourier","test_ez-scooter","",""
"","180","test_create_order_with_various_colors[colors2]","tests","Wed Jun 18 19:58:06 MSK 2025","passed","Wed Jun 18 19:58:06 MSK 2025","TestCreateOrder","test_ez-scooter","",""
"","241","test_login_with_wrong_password","tests","Wed Jun 18 19:58:05 MSK 2025","passed","Wed Jun 18 19:58:05 MSK 2025","TestLoginCourier","test_ez-scooter","",""
"","2264","test_get_orders_returns_list","tests","Wed Jun 18 19:58:06 MSK 2025","passed","Wed Jun 18 19:58:08 MSK 2025","TestGetOrders","test_ez-scooter","",""
"","107","test_login_with_nonexistent_user","tests","Wed Jun 18 19:58:05 MSK 2025","passed","Wed Jun 18 19:58:05 MSK 2025","TestLoginCourier","test_ez-scooter","",""
"","130","test_create_order_with_various_colors[colors3]","tests","Wed Jun 18 19:58:06 MSK 2025","passed","Wed Jun 18 19:58:06 MSK 2025","TestCreateOrder","test_ez-scooter","",""
"","96","test_create_courier_with_missing_fields[missing_field2]","tests","Wed Jun 18 19:58:04 MSK 2025","passed","Wed Jun 18 19:58:05 MSK 2025","TestCreateCourier","test_ez-scooter","",""
"","127","test_create_order_with_various_colors[colors1]","tests","Wed Jun 18 19:58:05 MSK 2025","passed","Wed Jun 18 19:58:06 MSK 2025","TestCreateOrder","test_ez-scooter","",""
"","108","test_create_courier_with_missing_fields[missing_field0]","tests","Wed Jun 18 19:58:04 MSK 2025","passed","Wed Jun 18 19:58:04 MSK 2025","TestCreateCourier","test_ez-scooter","",""
"","106","test_create_courier_with_missing_fields[missing_field1]","tests","Wed Jun 18 19:58:04 MSK 2025","passed","Wed Jun 18 19:58:04 MSK 2025","TestCreateCourier","test_ez-scooter","",""
"","123","test_create_order_with_various_colors[colors0]","tests","Wed Jun 18 19:58:05 MSK 2025","passed","Wed Jun 18 19:58:05 MSK 2025","TestCreateOrder","test_ez-scooter","",""
